Link	bacnam	ID
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465864
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465865
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465866
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465867
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465868
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465869
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465870
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465871
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465872
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465873
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465874
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465875
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465876
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465877
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465878
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465879
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465880
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465881
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465882
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465883
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465884
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465885
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465886
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465887
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465888
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465889
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465890
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465891
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465892
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465893
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465894
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465895
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465896
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465897
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465898
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465899
Ga0070887	Lactobacillus_kullabergensis_Biut2	2636465900
Ga0070888	Lactobacillus_mellis_Hon2	2639819785
Ga0070888	Lactobacillus_mellis_Hon2	2639819786
Ga0070888	Lactobacillus_mellis_Hon2	2639819787
Ga0070888	Lactobacillus_mellis_Hon2	2639819788
Ga0070888	Lactobacillus_mellis_Hon2	2639819789
Ga0070888	Lactobacillus_mellis_Hon2	2639819790
Ga0070888	Lactobacillus_mellis_Hon2	2639819791
Ga0070888	Lactobacillus_mellis_Hon2	2639819792
Ga0070888	Lactobacillus_mellis_Hon2	2639819793
Ga0070888	Lactobacillus_mellis_Hon2	2639819794
Ga0070888	Lactobacillus_mellis_Hon2	2639819795
Ga0070888	Lactobacillus_mellis_Hon2	2639819796
Ga0070888	Lactobacillus_mellis_Hon2	2639819797
Ga0070888	Lactobacillus_mellis_Hon2	2639819798
Ga0070888	Lactobacillus_mellis_Hon2	2639819799
Ga0070888	Lactobacillus_mellis_Hon2	2639819800
Ga0070888	Lactobacillus_mellis_Hon2	2639819801
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035892
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035893
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035894
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035895
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035896
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035897
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035898
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035899
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035900
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035901
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035902
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035903
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035904
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035905
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035906
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035907
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035908
Ga0072395	Bifidobacterium_asteroides_Bin2	2631035909
Ga0072396	Bifidobacterium_asteroides_Bin7	2645773144
Ga0072396	Bifidobacterium_asteroides_Bin7	2645773145
Ga0072396	Bifidobacterium_asteroides_Bin7	2645773146
Ga0072396	Bifidobacterium_asteroides_Bin7	2645773147
Ga0072396	Bifidobacterium_asteroides_Bin7	2645773148
Ga0072396	Bifidobacterium_asteroides_Bin7	2645773149
Ga0072396	Bifidobacterium_asteroides_Bin7	2645773150
Ga0072396	Bifidobacterium_asteroides_Bin7	2645773151
Ga0072396	Bifidobacterium_asteroides_Bin7	2645773152
Ga0072396	Bifidobacterium_asteroides_Bin7	2645773153
Ga0072396	Bifidobacterium_asteroides_Bin7	2645773154
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778692
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778693
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778694
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778695
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778696
Ga0072398	Bifidobacterium_coryneforme_Bma6	2645778697
