,species,no rank,genus,subfamily,family,order,superkingdom,class,phylum
Staphylococcus phage phiRS7,Staphylococcus phage phiRS7,all,77likevirus,,Siphoviridae,Caudovirales,Vira,,
Ralstonia phage RSB3,Ralstonia phage RSB3,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Ralstonia phage RSK1,Ralstonia phage RSK1,all,,,Podoviridae,Caudovirales,Vira,,
Staphylococcus phage JS01,Staphylococcus phage JS01,all,77likevirus,,Siphoviridae,Caudovirales,Vira,,
Streptococcus phage phiBHN167,Streptococcus phage phiBHN167,all,,,Siphoviridae,Caudovirales,Vira,,
Streptococcus phage TP-778L,Streptococcus phage TP-778L,all,Brussowvirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Fredward,Mycobacterium phage Fredward,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Salmonella phage SETP13,Salmonella virus SETP13,all,Jerseylikevirus,Guernseyvirinae,Siphoviridae,Caudovirales,Vira,,
Cyanophage PP,Cyanophage PP,all,,,Podoviridae,Caudovirales,Vira,,
Shigella phage SfIV,Enterobacteria phage SfIV,all,,,Myoviridae,Caudovirales,Vira,,
Vibrio phage VPUSM 8,Vibrio cholerae phage VPUSM 8,all,Hp1likevirus,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage MPK6,Pseudomonas phage MPK6,all,PhiKMV-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Erwinia phage FE44,Erwinia phage FE44,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Streptomyces phage Zemlya,Streptomyces virus Zemlya,all,Likavirus,Arquatrovirinae,Siphoviridae,Caudovirales,Vira,,
Streptomyces phage Sujidade,Streptomyces virus Sujidade,all,Likavirus,Arquatrovirinae,Siphoviridae,Caudovirales,Vira,,
Streptomyces phage Lika,Streptomyces virus Lika,all,Likavirus,Arquatrovirinae,Siphoviridae,Caudovirales,Vira,,
Escherichia virus JL1,Enterobacteria phage JL1,all,Dhillonvirus,,Siphoviridae,Caudovirales,Vira,,
Sulfolobus virus STSV2,Sulfolobus tengchongensis spindle-shaped virus 2,all,,,Bicaudaviridae,,Vira,,
Staphylococcus phage SA12,Staphylococcus aureus Bacteriophage SA12,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Lactobacillus phage phiAQ113,Lactobacillus bacteriophage phage AQ113,all,,,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage MPK7,Pseudomonas phage MPK7,all,PhiKMV-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Bacillus phage B4,Bacillus virus B4,all,B4virus,Bastillevirinae,Herelleviridae,Caudovirales,Vira,,
Salmonella phage FSL SP-058,Salmonella virus FSL SP-058,all,Ithacavirus,,Podoviridae,Caudovirales,Vira,,
Salmonella phage FSL SP-076,Salmonella virus FSL SP-076,all,Ithacavirus,,Podoviridae,Caudovirales,Vira,,
Paenibacillus phage phiIBB_Pl23,Paenibacillus phage phiIBB_Pl23,all,Sitaravirus,,Siphoviridae,Caudovirales,Vira,,
Shigella phage SfII,Bacteriophage SfII,all,,,Myoviridae,Caudovirales,Vira,,
Bacillus virus Curly,Bacillus phage Curly,all,Andromedalikevirus,,Siphoviridae,Caudovirales,Vira,,
Erwinia phage phiEaH2,Erwinia virus EaH2,all,Eah2virus,,Myoviridae,Caudovirales,Vira,,
Bacillus phage Wip1,Bacillus virus Wip1,all,Betatectivirus,,Tectiviridae,,Vira,,
Thermus phage phi OH2,Bacteriophage phi OH2,all,,,Myoviridae,Caudovirales,Vira,,
Salmonella phage Jersey,Salmonella virus Jersey,all,Jerseylikevirus,Guernseyvirinae,Siphoviridae,Caudovirales,Vira,,
Klebsiella phage 0507-KN2-1,Klebsiella phage 0507-KN2-1,all,,,Ackermannviridae,Caudovirales,Vira,,
Propionibacterium phage PHL111M01,Propionibacterium virus PHL111M01,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage PHL113M01,Propionibacterium virus PHL113M01,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage PHL114L00,Propionibacterium virus PHL114L00,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage PHL060L00,Propionibacterium virus PHL060L00,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage PHL071N05,Propionibacterium virus PHL071N05,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage PHL010M04,Propionibacterium phage PHL010M04,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage PHL067M10,Propionibacterium phage PHL067M10,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage PHL112N00,Propionibacterium virus PHL112N00,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Dylan,Mycobacteriophage Dylan,all,Corndoglikevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage SarFire,Mycobacteriophage Sarfire,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage JES2013,Escherichia virus JES2013,all,V5virus,Vequintavirinae,Myoviridae,Caudovirales,Vira,,
Staphylococcus phage SA13,Staphylococcus aureus bacteriophage SA13,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Bacillus virus Finn,Bacillus phage Finn,all,Andromedalikevirus,,Siphoviridae,Caudovirales,Vira,,
Bacillus virus Andromeda,Bacillus phage Andromeda,all,Andromedalikevirus,,Siphoviridae,Caudovirales,Vira,,
Bacillus virus Eoghan,Bacillus phage Eoghan,all,Andromedalikevirus,,Siphoviridae,Caudovirales,Vira,,
Aeromonas virus 44RR2,Aeromonas phage 40RR2.8t,all,Biquartavirus,,Myoviridae,Caudovirales,Vira,,
Aeromonas virus 31,Aeromonas phage 31,all,Biquartavirus,,Myoviridae,Caudovirales,Vira,,
Clostridium phage vB_CpeS-CP51,Clostridium phage phiCP51,all,,,Siphoviridae,Caudovirales,Vira,,
Cyanophage KBS-S-2A,Cyanophage KBS-S-2A,all,,,Siphoviridae,Caudovirales,Vira,,
Escherichia virus K1-5,Bacteriophage k1-5,all,SP6-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Enterobacteria phage VT2-Sakai,Bacteriophage VT2-Sa,all,Nona33virus,Sepvirinae,Podoviridae,Caudovirales,Vira,,
Escherichia virus P1,Bacteriophage P1,all,P1-like viruses,,Myoviridae,Caudovirales,Vira,,
Salmonella phage ST64T,Enterobacteria phage ST64T,all,P22-like viruses,,Podoviridae,Caudovirales,Vira,,
Colwellia phage 9A,Collwelliaphage 9A,all,,,Siphoviridae,Caudovirales,Vira,,
Lactococcus virus P008,Lactococcus lactis bacteriophage P008,all,Sk1virus,,Siphoviridae,Caudovirales,Vira,,
Lactococcus virus bIL170,Bacteriophage bIL170,all,Sk1virus,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage vB_SauM_Remus,Staphylococcus phage Remus,all,Silviavirus,Twortvirinae,Herelleviridae,Caudovirales,Vira,,
Mycobacterium phage Goku,Mycobacteriophage Goku,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Ralstonia phage RSS20,Ralstonia phage RSS20,all,,,Inoviridae,,Vira,,
Ralstonia phage RSS30,Ralstonia phage RSS30,all,,,Inoviridae,,Vira,,
Bacillus phage phiNIT1,Bacillus virus NIT1,all,Nit1virus,Bastillevirinae,Herelleviridae,Caudovirales,Vira,,
Escherichia phage PhaxI,Escherichia virus PhaxI,all,Cba120virus,Cvivirinae,Ackermannviridae,Caudovirales,Vira,,
Mycobacterium phage Crossroads,Mycobacteriophage Crossroads,all,Bronlikevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Wheeler,Mycobacteriophage Wheeler,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Daenerys,Mycobacteriophage Daenerys,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Redno2,Mycobacteriophage Redno2,all,Omegalikevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Contagion,Mycobacteriophage Contagion,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Phelemich,Mycobacteriophage Phelemich,all,Acadianvirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Trouble,Mycobacteriophage Trouble,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage KayaCho,Mycobacteriophage KayaCho,all,,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Velveteen,Mycobacteriophage Velveteen,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage DrDrey,Mycobacteriophage DrDrey,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Catdawg,Mycobacteriophage Catdawg,all,Corndoglikevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Hamulus,Mycobacteriophage Hamulus,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Bobi,Mycobacteriophage Bobi,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Muddy,Mycobacterium virus Muddy,all,Ff47virus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Papyrus,Mycobacterium virus Papyrus,all,Papyrusvirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Whirlwind,Mycobacteriophage Whirlwind,all,Bronlikevirus,,Siphoviridae,Caudovirales,Vira,,
Streptococcus phage SPQS1,Streptococcus virus SPQS1,all,Sap6likevirus,,Siphoviridae,Caudovirales,Vira,,
Puniceispirillum phage HMO-2011,Puniceispirillum phage HMO-2011,all,,,Podoviridae,Caudovirales,Vira,,
Lactococcus phage BM13,Lactococcus phage BM13,all,,,Siphoviridae,Caudovirales,Vira,,
Lactococcus phage jm2,Lactococcus lactis phage jm2,all,Sk1virus,,Siphoviridae,Caudovirales,Vira,,
Lactococcus phage phi7,Lactococcus lactis phage phi7,all,Sk1virus,,Siphoviridae,Caudovirales,Vira,,
Lactococcus phage jm3,Lactococcus lactis phage jm3,all,Sk1virus,,Siphoviridae,Caudovirales,Vira,,
Lactococcus phage 340,Lactococcus lactis phage 340,all,Sk1virus,,Siphoviridae,Caudovirales,Vira,,
Lactococcus phage P680,Lactococcus lactis phage P680,all,Sk1virus,,Siphoviridae,Caudovirales,Vira,,
Bacillus phage MG-B1,Bacillus phage MG-B1,all,Phi29-like viruses,Nanovirinae,Podoviridae,Caudovirales,Vira,,
Salmonella phage FSL SP-004,Salmonella virus FSLSP004,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Salmonella virus FSLSP088,Salmonella phage FSL SP-088,all,Chilikevirus,,Siphoviridae,Caudovirales,Vira,,
Salmonella virus FSLSP030,Salmonella phage FSL SP-030,all,Chilikevirus,,Siphoviridae,Caudovirales,Vira,,
Salmonella phage FSL SP-031,Salmonella virus SP31,all,Cornellvirus,Guernseyvirinae,Siphoviridae,Caudovirales,Vira,,
Vibrio phage pYD38-B,Vibrio phage pYD38-B,all,,,Siphoviridae,Caudovirales,Vira,,
Rhizobium phage RR1-A,Rhizobium phage RR1-A,all,,,Myoviridae,Caudovirales,Vira,,
Rhizobium phage RR1-B,Rhizobium phage RR1-B,all,,,Myoviridae,Caudovirales,Vira,,
Vibrio phage JA-1,Vibrio cholerae phage JA-1,all,,,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Job42,Mycobacteriophage Job42,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage BTCU-1,Mycobacteriophage BTCU-1,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Alteromonas phage vB_AmaP_AD45-P1,Alteromonas phage vB_AmaP_AD45-P1,all,,,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Astraea,Mycobacterium virus Bxz1,all,I3-like viruses,,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage ArcherS7,Mycobacterium virus Bxz1,all,I3-like viruses,,Myoviridae,Caudovirales,Vira,,
Rhodococcus phage E3,Rhodococcus equi bacteriophage E3,all,,,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage Gizmo,Mycobacterium virus Bxz1,all,I3-like viruses,,Myoviridae,Caudovirales,Vira,,
Burkholderia phage ST79,Burkholderia phage ST79,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Halovirus HHTV-2,Halovirus HHTV-2,all,,,,,Vira,,
Mycobacterium phage Chy4,Mycobacterium phage Chy4,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Halovirus HRTV-7,Halovirus HRTV-7,all,,,,,Vira,,
Mycobacterium phage WIVsmall,Mycobacterium phage WIVsmall,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage StauST398-3,Staphylococcus phage StauST398-3,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Halovirus HCTV-1,Halovirus HCTV-1,all,,,,,Vira,,
Halovirus HRTV-4,Halovirus HRTV-4,all,,,,,Vira,,
Halovirus HGTV-1,Halovirus HGTV-1,all,,,,,Vira,,
Halovirus HCTV-5,Halovirus HCTV-5,all,,,,,Vira,,
Mycobacterium phage CASbig,Mycobacterium phage CASbig,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage StauST398-2,Staphylococcus phage StauST398-2,all,3alikevirus,,Siphoviridae,Caudovirales,Vira,,
Halovirus HHTV-1,Halovirus HHTV-1,all,,,,,Vira,,
Halovirus HRTV-8,Halovirus HRTV-8,all,,,,,Vira,,
Halovirus HRTV-5,Halovirus HRTV-5,all,,,,,Vira,,
Halovirus HCTV-2,Halovirus HCTV-2,all,,,,,Vira,,
Mycobacterium phage Chy5,Mycobacterium phage Chy5,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Acinetobacter phage Abp1,Acinetobacter virus Abp1,all,Fri1virus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Phaux,Mycobacterium phage Phaux,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Newman,Mycobacterium virus Suffolk,all,Pegunavirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Phrux,Mycobacteriophage Phrux,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage HINdeR,Mycobacteriophage HINdeR,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Dumbo,Mycobacteriophage Dumbo,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Murphy,Mycobacteriophage Murphy,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage SiSi,Mycobacteriophage SiSi,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage PattyP,Mycobacteriophage PattyP,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Halovirus HSTV-1,Halovirus HSTV-1,all,,,,,Vira,,
Streptococcus phage phiNJ2,Streptococcus phage phiNJ2,all,,,Siphoviridae,Caudovirales,Vira,,
Paenibacillus phage PG1,Paenibacillus phage PG1,all,,,Siphoviridae,Caudovirales,Vira,,
Halorubrum phage CGphi46,Halorubrum phage CGphi46,all,,,,,Vira,,
Synechococcus phage S-IOM18,Cyanophage S-IOM18,all,,,Myoviridae,Caudovirales,Vira,,
Vibrio phage pYD38-A,Vibrio phage pYD38-A,all,Pis4avirus,,Siphoviridae,Caudovirales,Vira,,
Iodobacteriophage phiPLPE,Iodobacteriophage phiPLPE,all,,,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage Leo,Mycobacterium phage Leo,all,Halolikevirus,,Siphoviridae,Caudovirales,Vira,,
Prochlorococcus phage P-SSM3,Cyanophage P-SSM3,all,,,Myoviridae,Caudovirales,Vira,,
Rhodococcus phage REQ1,Rhodococcus bacteriophage REQ1,all,,,Siphoviridae,Caudovirales,Vira,,
Bacillus phage PM1,Bacillus phage PM1,all,,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage vB_PaeM_C2-10_Ab1,Pseudomonas virus CAb1,all,Pakpunavirus,,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage UFV-P2,Pseudomonas virus UFVP2,all,Vicosavirus,,Podoviridae,Caudovirales,Vira,,
Leuconostoc phage P793,Leuconostoc virus P793,all,Limdunavirus,Mccleskeyvirinae,Siphoviridae,Caudovirales,Vira,,
