,species,no rank,genus,subfamily,family,order,superkingdom,class,phylum
Bacillus phage SalinJah,Bacillus phage SalinJah,all,Wphvirus,Bastillevirinae,Herelleviridae,Caudovirales,Vira,,
Enterobacter phage Tyrion,Enterobacter phage Tyrion,all,Epsilon15-like viruses,,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Patience,Mycobacterium virus Patience,all,Patiencevirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacter phage Arya,Enterobacter phage Arya,all,Cvm10virus,,Myoviridae,Caudovirales,Vira,,
Salmonella phage BPS15Q2,Salmonella virus BPS15Q2,all,FelixO1likevirus,Ounavirinae,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage AnnaL29,Mycobacteriophage AnnaL29,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Bactobuster,Mycobacterium phage Bactobuster,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage ArcherNM,Mycobacteriophage ArcherNM,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage EvilGenius,Mycobacterium phage EvilGenius,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Loser,Mycobacteriophage Loser,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Mulciber,Mycobacteriophage Mulciber,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Catalina,Mycobacteriophage Catalina,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage JSwag,Gordonia phage JSwag,all,Soupsvirus,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage Remus,Gordonia phage Remus,all,Soupsvirus,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage Soups,Gordonia virus Soups,all,Soupsvirus,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage KatherineG,Gordonia phage KatherineG,all,Soupsvirus,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage Rosalind,Gordonia phage Rosalind,all,Soupsvirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage VohminGhazi,Mycobacterium phage VohminGhazi,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage SweetiePie,Mycobacteriophage SweetiePie,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Anubis,Mycobacterium phage Anubis,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Pioneer,Mycobacterium phage Pioneer,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Theia,Mycobacteriophage Theia,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Serenity,Mycobacteriophage Serenity,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Sheen,Mycobacteriophage Sheen,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Swirley,Mycobacteriophage Swirley,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Chadwick,Mycobacteriophage Chadwick,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Larenn,Mycobacteriophage Larenn,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Smeadley,Mycobacteriophage Smeadley,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Equemioh13,Mycobacteriophage Equemioh13,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Luchador,Mycobacteriophage Luchador,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage MarQuardt,Mycobacteriophage MarQuardt,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Piro94,Mycobacteriophage Piro94,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Tiffany,Mycobacteriophage Tiffany,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage LadyBird,Mycobacteriophage LadyBird,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Iracema64,Mycobacteriophage Iracema64,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Phlei,Mycobacterium phage Phlei,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Trike,Mycobacteriophage Trike,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage RedRock,Mycobacterium virus Redrock,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Phantastic,Mycobacteriophage Phantastic,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Kampy,Mycobacteriophage Kampy,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Trixie,Mycobacterium virus Trixie,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium virus Alma,Mycobacteriophage Alma,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Blue7,Mycobacteriophage Blue7,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Wile,Mycobacteriophage Wile,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Turbido,Mycobacterium virus Turbido,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage RhynO,Mycobacteriophage RhynO,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage 40AC,Mycobacterium phage 40AC,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Echild,Mycobacteriophage Echild,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage CRB1,Mycobacterium phage CRB1,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage 20ES,Mycobacterium phage 20ES,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Obama12,Mycobacteriophage LHTSCC,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Nyxis,Mycobacteriophage Nyxis,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage EagleEye,Mycobacterium phage EagleEye,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage BellusTerra,Mycobacteriophage BellusTerra,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Zaka,Mycobacteriophage Zaka,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Jovo,Mycobacterium phage Jovo,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Artemis2UCLA,Mycobacteriophage Artemis2UCLA,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Conspiracy,Mycobacteriophage Conspiracy,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage CloudWang3,Mycobacteriophage CloudWang3,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage LittleCherry,Mycobacteriophage LittleCherry,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Adzzy,Mycobacteriophage Adzzy,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Jobu08,Mycobacteriophage Jobu08,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Severus,Mycobacteriophage Severus,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage First,Mycobacterium phage First,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium virus Peaches,Mycobacteriophage Peaches,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium virus Pukovnik,Mycobacteriophage Pukovnik,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Streptomyces phage Jay2Jay,Streptomyces virus Jay2Jay,all,Samistivirus,,Siphoviridae,Caudovirales,Vira,,
Clostridium phage phiCD211,Clostridium phage phiCD211,all,,,Siphoviridae,Caudovirales,Vira,,
uncultured crAssphage,Gut phage BED-2012,all,,,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Malithi,Mycobacterium virus Malithi,all,Fishburnevirus,Pclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Donovan,Mycobacterium virus Donovan,all,Fishburnevirus,Pclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Fishburne,Mycobacterium virus Fishburne,all,Fishburnevirus,Pclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Shipwreck,Mycobacterium phage Shipwreck,all,Fishburnevirus,Pclasvirinae,Siphoviridae,Caudovirales,Vira,,
Acinetobacter phage vB_AbaM_IME200,Acinetobacter virus IME200,all,Fri1virus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Phayonce,Mycobacterium virus Phayonce,all,Phayoncevirus,Pclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Brusacoram,Mycobacterium virus Brusacoram,all,Fishburnevirus,Pclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage BigNuz,Mycobacterium virus Bignuz,all,Bignuzlikevirus,Pclasvirinae,Siphoviridae,Caudovirales,Vira,,
Vibrio phage nt-1,Vibrio virus nt1,all,Schizot4likevirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Mycoplasma fermentans,Asterococcus fermentans (Edward 1955) Prevot 1961,all,Asterococcus Borrel et al. 1910,,Borrelomycetaceae Turner 1935,Borrelomycetales Turner 1935,Bacteria,Paramycetes Sabin 1941,Mollicutaeota
Pseudomonas virus D3,Bacteriophage D3,all,D3likevirus,,Siphoviridae,Caudovirales,Vira,,
Morganella phage MmP1,Morganella morganii phage MmP1,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Corynebacterium phage BFK20,Corynebacterium virus BFK20,all,Sasvirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium virus Halo,Mycobacteriophage Halo,all,Halolikevirus,,Siphoviridae,Caudovirales,Vira,,
Burkholderia virus Bcep22,Burkholderia cepacia phage Bcep22,all,Bcep22likevirus,,Podoviridae,Caudovirales,Vira,,
Synechococcus phage P60,Cyanophage P60,all,,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Staphylococcus phage tp310-3,Staphylococcus phage tp310-3,all,77likevirus,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage tp310-2,Staphylococcus phage tp310-2,all,3alikevirus,,Siphoviridae,Caudovirales,Vira,,
Staphylococcus phage tp310-1,Staphylococcus phage tp310-1,all,77likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycoplasma phage phiMFV1,Bacteriophage phiMFV1,all,,,,,Vira,,
Temperate phage phiNIH1.1,Temperate phage phiNIH1.1,all,,,Siphoviridae,Caudovirales,Vira,,
Methanothermobacter wolfeii,ATCC 43096,all,Methanobacter Boone et al. 1993,,Methanobacteriaceae,Methanobacteriales,Archaea Woese et al. 1990,Archaeobacteria,Euryarchaeota Woese et al. 1990
Methanothermobacter phage psiM100,Methanothermobacter phage psiM100,all,,,Siphoviridae,Caudovirales,Vira,,
Citrobacter phage CVT22,Citrobacter bacteriophage CVT22,all,,,Podoviridae,Caudovirales,Vira,,
Vibrio phage VpKK5,Vibrio phage VpKK5,all,,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage Bp4,Escherichia virus Bp4,all,G7cvirus,,Podoviridae,Caudovirales,Vira,,
Staphylococcus phage StB12,Staphylococcus phage StB12,all,Phietalikevirus,,Siphoviridae,Caudovirales,Vira,,
Acinetobacter phage ZZ1,Acinetobacter phage ZZ1,all,,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Mycobacterium virus Fionnbarth,Mycobacteriophage Fionnbharth,all,Timquatrovirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium virus Bron,Mycobacteriophage LeBron,all,Bronlikevirus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage Enoki,Propionibacterium acnes bacteriophage Enoki,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Klebsiella phage vB_KpnM_KpV477,Klebsiella phage vB_KpnM_KpV477,all,Jd18virus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Propionibacterium phage BruceLethal,Propionibacterium acnes bacteriophage BruceLethal,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage QueenBey,Propionibacterium acnes bacteriophage QueenBey,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage Moyashi,Propionibacterium acnes bacteriophage Moyashi,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Prochlorococcus phage P-TIM68,Prochlorococcus phage P-TIM68,all,,,Myoviridae,Caudovirales,Vira,,
Bacillus phage TsarBomba,Bacillus virus TsarBomba,all,Tsarbombavirus,Bastillevirinae,Herelleviridae,Caudovirales,Vira,,
Salmonella phage SEN34,Salmonella virus SEN34,all,Brunovirus,,Myoviridae,Caudovirales,Vira,,
Propionibacterium phage Ouroboros,Propionibacterium virus Ouroboros,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage Attacne,Propionibacterium virus Attacne,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage Lauchelly,Propionibacterium virus Lauchelly,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage Solid,Propionibacterium virus Solid,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage Procrass1,Propionibacterium virus Procrass1,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage Kubed,Propionibacterium virus Kubed,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage SKKY,Propionibacterium virus SKKY,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage Pirate,Propionibacterium virus Pirate,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage Stormborn,Propionibacterium virus Stormborn,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage Wizzo,Propionibacterium virus Wizzo,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Propionibacterium phage MrAK,Propionibacterium virus MrAK,all,Pa6virus,,Siphoviridae,Caudovirales,Vira,,
Salmonella phage vB_SPuM_SP116,Salmonella virus SP116,all,FelixO1likevirus,Ounavirinae,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage phi12,Pseudomonas virus phi12,all,Cystovirus,,Cystoviridae,,Vira,,
Pseudomonas phage phi13,Pseudomonas virus phi13,all,Cystovirus,,Cystoviridae,,Vira,,
Pseudomonas phage phi8,Pseudomonas virus phi8,all,Cystovirus,,Cystoviridae,,Vira,,
Arthrobacter phage Mudcat,Arthrobacter virus Mudcat,all,Mudcatvirus,,Siphoviridae,Caudovirales,Vira,,
Erwinia phage vB_EamP_Frozen,Erwinia virus Frozen,all,Ea92virus,,Podoviridae,Caudovirales,Vira,,
Achromobacter phage phiAxp-3,Achromobacter virus Axp3,all,Jwalphavirus,,Podoviridae,Caudovirales,Vira,,
Delftia phage RG-2014,Delftia phage RG-2014,all,,,Podoviridae,Caudovirales,Vira,,
Alphatectivirus,,all,Alphatectivirus,,Tectiviridae,,Vira,,
Mycobacterium phage JAMaL,Mycobacterium virus JAMaL,all,Coopervirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Bruin,Mycobacteriophage Bruin,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Bernardo,Mycobacterium virus Bernardo,all,Pipefishvirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage HufflyPuff,Mycobacterium phage HufflyPuff,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Graduation,Mycobacteriophage Graduation,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Nala,Mycobacteriophage Nala,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage HanShotFirst,Mycobacterium phage HanShotFirst,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage PhatBacter,Mycobacteriophage PhatBacter,all,Cjw1-like phages,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage PegLeg,Mycobacteriophage PegLeg,all,Bongovirus,Mclasvirinae,Siphoviridae,Caudovirales,Vira,,
Haloarcula hispanica pleomorphic virus 1,Haloarcula virus HHPV-1,all,Alphapleolipovirus,,Pleolipoviridae,,Vira,,
Halorubrum pleomorphic virus 1,Halorubrum virus HRPV-1,all,Alphapleolipovirus,,Pleolipoviridae,,Vira,,
Lactobacillus virus Lb338-1,Lactobacillus phage Lb338-1,all,,,Herelleviridae,Caudovirales,Vira,,
Escherichia phage wV8,Escherichia virus wV8,all,FelixO1likevirus,Ounavirinae,Myoviridae,Caudovirales,Vira,,
Erwinia phage phiEa21-4,Erwinia virus Ea214,all,Ea214virus,Ounavirinae,Myoviridae,Caudovirales,Vira,,
Arthrobacter phage Decurro,Arthrobacter virus Decurro,all,Decurrovirus,,Siphoviridae,Caudovirales,Vira,,
Bacillus phage BM5,Bacillus phage BM5,all,,,Myoviridae,Caudovirales,Vira,,
Synechococcus phage S-MbCM100,Synechococcus phage S-MbCM100,all,,,Myoviridae,Caudovirales,Vira,,
Gordonia phage Yeezy,Gordonia virus Yeezy,all,Baxtervirus,Nymbaxtervirinae,Siphoviridae,Caudovirales,Vira,,
Gordonia phage Kita,Gordonia virus Kita,all,Nymphadoravirus,Nymbaxtervirinae,Siphoviridae,Caudovirales,Vira,,
Gordonia phage BaxterFox,Gordonia virus BaxterFox,all,Baxtervirus,Nymbaxtervirinae,Siphoviridae,Caudovirales,Vira,,
Gordonia phage Zirinka,Gordonia virus Zirinka,all,Nymphadoravirus,Nymbaxtervirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium virus Babsiella,Mycobacteriophage Babsiella,all,Brujitavirus,Chebruvirinae,Siphoviridae,Caudovirales,Vira,,
Gordonia phage Terapin,Gordonia phage Terapin,all,,,Siphoviridae,Caudovirales,Vira,,
Vibrio phage VPMS1,Vibrio parahaemolyticus phage vpms1,all,Kafunavirus,,Podoviridae,Caudovirales,Vira,,
Klebsiella phage KP34,Klebsiella virus KP34,all,Drulisvirus,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Acinetobacter phage vB_AbaS_TRS1,Acinetobacter phage vB_AbaS_TRS1,all,Vieuvirus,,Siphoviridae,Caudovirales,Vira,,
Enterobacteria phage St-1,Escherichia virus St1,all,Alpha3microvirus,Bullavirinae,Microviridae,,Vira,,
Escherichia phage vB_EcoM_JS09,Escherichia virus JS09,all,Mosigvirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Salmonella phage SEN1,Salmonella phage SEN1,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Salmonella phage SEN22,Salmonella phage SEN22,all,P22-like viruses,,Podoviridae,Caudovirales,Vira,,
Salmonella phage GG32,Salmonella virus GG32,all,Cba120virus,Cvivirinae,Ackermannviridae,Caudovirales,Vira,,
Salmonella phage MA12,Salmonella enterica Serovar Enteritidis Bacteriophage MA12,all,Jerseylikevirus,Guernseyvirinae,Siphoviridae,Caudovirales,Vira,,
Pyrobaculum filamentous virus 1,PFV-1,all,Alphatristromavirus,,Tristromaviridae,,Vira,,
Salmonella phage SEN4,Salmonella phage SEN4,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Salmonella phage SEN5,Salmonella phage SEN5,all,P2-like viruses,Peduovirinae,Myoviridae,Caudovirales,Vira,,
Escherichia phage LM33_P1,Escherichia phage LM33_P1,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Salmonella phage 118970_sal2,Salmonella virus 118970sal2,all,T5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Salmonella phage BPS11Q3,Salmonella bacteriophage BPS11Q3,all,Jerseylikevirus,Guernseyvirinae,Siphoviridae,Caudovirales,Vira,,
Salmonella phage 64795_sal3,Salmonella phage 64795_sal3,all,Pis4avirus,,Siphoviridae,Caudovirales,Vira,,
Salmonella phage 103203_sal5,Salmonella phage 103203_sal5,all,P22-like viruses,,Podoviridae,Caudovirales,Vira,,
Synechococcus phage S-WAM1,Synechococcus cyanophage S-WAM1,all,,,Myoviridae,Caudovirales,Vira,,
Escherichia phage vB_EcoP_GA2A,Escherichia phage vB_EcoP_GA2A,all,T7-like viruses,Autographivirinae,Podoviridae,Caudovirales,Vira,,
Streptococcus phage phiARI0462,Streptococcus phage phiARI0462,all,,,Siphoviridae,Caudovirales,Vira,,
Streptococcus phage phiARI0131-2,Streptococcus phage phiARI0131-2,all,,,Siphoviridae,Caudovirales,Vira,,
Salmonella phage 118970_sal3,Salmonella phage 118970_sal3,all,,,Myoviridae,Caudovirales,Vira,,
Flavobacterium phage Fpv6,Flavobacterium phage Fpv6,all,,,Siphoviridae,Caudovirales,Vira,,
Gordonia phage GAL1,Gordonia virus GAL1,all,Galunavirus,,Siphoviridae,Caudovirales,Vira,,
Synechococcus phage S-WAM2,Synechococcus cyanophage S-WAM2,all,,,Myoviridae,Caudovirales,Vira,,
Escherichia phage MX01,Escherichia virus MX01,all,Dhakavirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Flavobacterium phage Fpv10,Flavobacterium phage Fpv10,all,,,Siphoviridae,Caudovirales,Vira,,
Flavobacterium phage Fpv2,Flavobacterium phage Fpv2,all,Fipvunavirus,,Podoviridae,Caudovirales,Vira,,
Salmonella phage 118970_sal1,Salmonella phage 118970_sal1,all,Chilikevirus,,Siphoviridae,Caudovirales,Vira,,
Streptococcus phage phiARI0468-1,Streptococcus phage phiARI0468-1,all,,,Siphoviridae,Caudovirales,Vira,,
Escherichia phage WG01,Escherichia virus WG01,all,Dhakavirus,Tevenvirinae,Myoviridae,Caudovirales,Vira,,
Synechococcus phage S-CAM7,Synechococcus phage S-CAM7,all,,,Myoviridae,Caudovirales,Vira,,
Flavobacterium phage 2A,Flavobacterium virus 2A,all,Unahavirus,,Siphoviridae,Caudovirales,Vira,,
Salmonella phage IME207,Salmonella phage IME207,all,Pis4avirus,,Siphoviridae,Caudovirales,Vira,,
Streptococcus phage phiARI0468-2,Streptococcus phage phiARI0468-2,all,,,Siphoviridae,Caudovirales,Vira,,
Synechococcus phage S-CAM9,Synechococcus phage S-CAM9,all,,,Myoviridae,Caudovirales,Vira,,
Streptococcus phage phiARI0004,Streptococcus phage phiARI0004,all,,,Siphoviridae,Caudovirales,Vira,,
Flavobacterium phage Fpv8,Flavobacterium phage Fpv8,all,,,Siphoviridae,Caudovirales,Vira,,
Pseudoalteromonas phage BS5,Pseudoalteromonas phage BS5,all,,,Siphoviridae,Caudovirales,Vira,,
Streptococcus phage phiARI0468-4,Streptococcus phage phiARI0468-4,all,,,Siphoviridae,Caudovirales,Vira,,
Flavobacterium phage Fpv1,Flavobacterium virus Fpv1,all,Fipvunavirus,,Podoviridae,Caudovirales,Vira,,
Streptococcus phage phiARI0460-1,Streptococcus phage phiARI0460-1,all,,,Siphoviridae,Caudovirales,Vira,,
Flavobacterium phage Fpv20,Flavobacterium phage Fpv20,all,Fipvunavirus,,Podoviridae,Caudovirales,Vira,,
Flavobacterium phage 1H,Flavobacterium virus 1H,all,Unahavirus,,Siphoviridae,Caudovirales,Vira,,
Streptococcus phage phiARI0031,Streptococcus phage phiARI0031,all,,,Siphoviridae,Caudovirales,Vira,,
Campylobacter phage PC14,Campylobacter phage PC14,all,Cp8unalikevirus,Eucampyvirinae,Myoviridae,Caudovirales,Vira,,
Pseudoalteromonas phage PH1,Pseudoalteromonas phage PH1,all,Kafunavirus,,Podoviridae,Caudovirales,Vira,,
Streptococcus phage phiARI0746,Streptococcus phage phiARI0746,all,,,Siphoviridae,Caudovirales,Vira,,
Synechococcus phage S-CAM3,Synechococcus phage S-CAM3,all,,,Myoviridae,Caudovirales,Vira,,
Flavobacterium phage Fpv7,Flavobacterium phage Fpv7,all,,,Siphoviridae,Caudovirales,Vira,,
Flavobacterium phage Fpv3,Flavobacterium phage Fpv3,all,Fipvunavirus,,Podoviridae,Caudovirales,Vira,,
Synechococcus phage S-CAM22,Synechococcus phage S-CAM22,all,,,Myoviridae,Caudovirales,Vira,,
Salmonella phage 100268_sal2,Salmonella virus 118970sal2,all,T5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Streptococcus phage phiARI0131-1,Streptococcus phage phiARI0131-1,all,,,Siphoviridae,Caudovirales,Vira,,
Flavobacterium phage Fpv11,Flavobacterium phage Fpv11,all,,,Siphoviridae,Caudovirales,Vira,,
Flavobacterium phage Fpv5,Flavobacterium phage Fpv5,all,,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Tweety,Mycobacterium virus Tweety,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Bacillus phage vB_BtS_BMBtp3,Bacillus phage BMBTP3,all,,,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage PaP3,Pseudomonas aeruginosa phage PaP3,all,LUZ24-like viruses,,Podoviridae,Caudovirales,Vira,,
Burkholderia virus Bcepil02,Burkholderia cenocepacia phage BcepIL02,all,Bcep22likevirus,,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Aeneas,Mycobacteriophage Aeneas,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Bane1,Mycobacterium virus Bane1,all,Coopervirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Adawi,Mycobacterium virus Adawi,all,Coopervirus,Bclasvirinae,Siphoviridae,Caudovirales,Vira,,
Pseudomonas phage KPP10,Pseudomonas virus KPP10,all,Kpp10virus,,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage PAK_P4,Pseudomonas virus PAKP4,all,Pakpunavirus,,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage PhrostyMug,Mycobacterium phage PhrostyMug,all,L5-like viruses,,Siphoviridae,Caudovirales,Vira,,
Bacillus virus BMBtp2,Bacillus phage BMBtp2,all,Lwoffvirus,,Siphoviridae,Caudovirales,Vira,,
Synechococcus phage S-PM2,Bacteriophage S-PM2,all,,,Myoviridae,Caudovirales,Vira,,
Pseudomonas phage O4,Pseudomonas phage O4,all,,,Podoviridae,Caudovirales,Vira,,
Mycobacterium phage Phrann,Mycobacterium virus Phrann,all,Redivirus,Nclasvirinae,Siphoviridae,Caudovirales,Vira,,
Gordonia phage Guacamole,Gordonia phage Guacamole,all,,,Siphoviridae,Caudovirales,Vira,,
Brucella phage BiPBO1,Brucella inopinata phage BiPBO1,all,,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Brocalys,Mycobacterium phage Brocalys,all,Che8likevirus,,Siphoviridae,Caudovirales,Vira,,
Mycobacterium phage Bipper,Mycobacterium phage Bipper,all,,,Siphoviridae,Caudovirales,Vira,,
Arthrobacter phage BarretLemon,Arthrobacter virus BarretLemon,all,Marthavirus,,Myoviridae,Caudovirales,Vira,,
Gordonia phage BetterKatz,Gordonia virus BetterKatz,all,Betterkatzvirus,,Siphoviridae,Caudovirales,Vira,,
Bacillus phage SP-15,Bacillus virus SP15,all,Thornevirus,,Myoviridae,Caudovirales,Vira,,
Mycobacterium phage Xeno,Mycobacterium virus Xeno,all,Charlielikevirus,Nclasvirinae,Siphoviridae,Caudovirales,Vira,,
